symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MSFT,2020-04-08,165.13,166.67,163.5,165.67,48318234,163.0928925731,164.6138945386,161.4830008823,163.6262309246,48318234,0.0,1.0
MSFT,2020-04-09,165.14,167.37,163.33,166.36,51431775,163.1027692092,165.3052590683,161.3150980679,164.3077188182,51431775,0.0,1.0
MSFT,2020-04-13,165.51,165.57,162.3,164.35,41905264,163.4682047464,163.5274645632,160.2978045456,162.3225149542,41905264,0.0,1.0
MSFT,2020-04-14,173.7,173.75,168.0,169.0,52874338,171.5571697447,171.6065529254,165.9274871451,166.9151507591,52874338,0.0,1.0
MSFT,2020-04-15,171.88,173.57,169.24,171.2,40940833,169.7596219673,171.4287734749,167.1521900264,169.0880107098,40940833,0.0,1.0
MSFT,2020-04-16,177.04,177.28,172.9,174.3,50479610,174.8559662153,175.0930054827,170.7670388535,172.1497679131,50479610,0.0,1.0
MSFT,2020-04-17,178.6,180.0,175.87,179.5,52765625,176.3967214531,177.7794505126,173.700399787,177.2856187057,52765625,0.0,1.0
MSFT,2020-04-20,175.06,178.75,174.99,176.63,36669595,172.9003922597,176.5448709952,172.8312558067,174.4510241336,36669595,0.0,1.0
MSFT,2020-04-21,167.82,173.67,166.11,173.5,56203749,165.7497076946,171.5275398363,164.0608029148,171.3596370219,56203749,0.0,1.0
MSFT,2020-04-22,173.52,174.0,170.82,171.39,34651604,171.3793902942,171.8534688289,168.7126985365,169.2756667965,34651604,0.0,1.0
MSFT,2020-04-23,171.42,175.06,170.91,174.11,32790804,169.3052967049,172.9003922597,168.8015882618,171.9621118264,32790804,0.0,1.0
MSFT,2020-04-24,174.55,174.56,170.71,172.06,34305320,172.3966838166,172.4065604527,168.604055539,169.9374014178,34305320,0.0,1.0
MSFT,2020-04-27,174.05,176.9,173.3,176.59,33194384,171.9028520096,174.7176933094,171.1621042991,174.411517589,33194384,0.0,1.0
MSFT,2020-04-28,169.81,175.67,169.39,175.59,34392694,167.7151582864,173.5028670642,167.3003395685,173.4238539751,34392694,0.0,1.0
MSFT,2020-04-29,177.43,177.68,171.88,173.22,51286559,175.2411550248,175.4880709283,169.7596219673,171.08309121,51286559,0.0,1.0
MSFT,2020-04-30,179.21,180.4,176.23,180.0,53875857,176.9991962576,178.1745159582,174.055958688,177.7794505126,53875857,0.0,1.0
MSFT,2020-05-01,174.57,178.64,174.01,175.8,39370474,172.4164370888,176.4362279977,171.863345465,173.631263334,39370474,0.0,1.0
MSFT,2020-05-04,178.84,179.0,173.8,174.49,30372862,176.6337607204,176.7917868987,171.6559361061,172.3374239997,30372862,0.0,1.0
MSFT,2020-05-05,180.76,183.65,179.9,180.62,36839168,178.5300748593,181.3844227036,177.6806841512,178.3918019533,36839168,0.0,1.0
MSFT,2020-05-06,182.54,184.2,181.63,182.08,32139299,180.2881160921,181.9276376913,179.3893422034,179.8337908297,32139299,0.0,1.0
MSFT,2020-05-07,183.6,184.55,182.58,184.17,28315992,181.3350395229,182.2733199562,180.3276226367,181.8980077829,28315992,0.0,1.0
MSFT,2020-05-08,184.68,185.0,183.36,184.98,30912638,182.401716226,182.7177685824,181.0980002555,182.6980153102,30912638,0.0,1.0
MSFT,2020-05-11,186.74,187.51,182.85,183.15,30892660,184.4363032707,185.1968042535,180.5942918124,180.8905908966,30892660,0.0,1.0
